NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_REDACAO,NU_NOTA_LC,NU_NOTA_MT,TP_ST_CONCLUSAO,Q005,Q006
18,580.3,530.8,740,549.1,450.7,2,3,C
21,411.1,537.1,720,520.5,433.8,1,5,B
18,370.8,430.2,380,477.7,534.7,2,3,C
20,484.5,467.8,720,512.2,477.6,2,4,B
35,,,,,,1,5,A
23,427.8,443.2,500,438.7,436.2,1,6,G
19,,,,,,1,5,B
16,384.5,463.9,280,513.4,428.4,2,4,B
27,493.8,543.6,600,539.5,448.5,1,5,C
16,516.5,571.3,780,511.2,424.5,3,3,E
17,409.7,551,640,568.5,446.2,3,4,C
27,,,,,,1,3,B
17,480.9,450.4,520,496.1,433.8,2,5,C
18,426.4,411.3,600,444.8,408.5,1,5,B
19,439.3,546.8,900,465.6,506.2,1,2,B
18,565.2,578.5,780,527.1,485.8,1,4,C
26,441.3,479.7,280,469.1,480.8,1,4,C
20,563.1,569.9,640,518.5,543.7,1,4,B
18,417.2,409.6,600,504.4,497.1,2,5,D
18,570.1,551.5,820,466.5,409.7,2,6,B
17,366.8,333.5,480,423.5,456.3,2,5,C
28,431.5,505.7,440,490,411.9,1,4,B
40,450.3,425.9,340,447.3,370.7,1,2,C
18,511.8,581.6,860,586.5,589.2,1,4,C
17,,532.8,0,537,,3,4,B
18,444.6,444.6,640,482.1,500.6,2,4,C
18,380.1,437.3,440,406.6,403.9,1,3,B
16,647.8,661.5,920,690,703.2,3,7,I
17,586.3,561.2,720,587.2,683.3,2,2,C
35,354.3,476.6,540,381.4,377.5,1,3,B
24,378.9,465,520,541.3,433.9,1,2,B
17,429,474.7,240,451.7,391.9,3,4,B
24,,,,,,1,6,D
21,573.7,645.3,720,588.4,509.5,1,4,B
22,384.4,445.4,320,465.2,383.9,1,4,B
17,423.7,474,700,514.7,429.5,3,4,B
26,393.6,471.7,400,493.3,470.7,1,5,B
26,,,,,,1,6,L
31,484.8,510.4,620,547.2,471.5,1,11,K
21,,,,,,1,4,C
24,469.2,484,600,488.5,497.9,1,3,C
18,639.5,612.3,700,587.4,657,1,4,J
28,441.6,524.7,580,507.9,451.4,3,4,A
19,529.1,483.6,760,565.9,537.3,1,5,F
19,415.6,471.8,360,477.1,472.7,2,7,B
20,463.3,513,560,510.6,448.9,2,4,B
44,516.6,589.9,640,580.8,533.4,1,2,G
20,446.1,515.2,480,534.7,386.9,1,5,C
19,,413.8,340,380.5,,1,2,B
38,389.4,433.4,580,509.3,361.3,1,4,C
18,450.6,473.6,660,512.8,554.5,1,6,B
23,530.9,646.2,660,628.5,578.3,1,4,C
20,,,,,,1,6,E
19,367.3,420.2,380,370.3,537.1,1,4,E
21,453,366.5,420,432.6,424.7,1,2,B
24,511.4,504.4,380,511.2,594.4,1,5,B
18,492.2,518.9,540,571.4,427,2,5,B
29,,,,,,1,5,B
18,457.8,524.2,820,555.7,491,1,4,C
17,420.2,472.4,480,487.1,556.4,2,3,C
17,438.9,455.9,640,423,442.8,3,5,C
20,499.3,584.7,540,567.4,493.5,1,4,B
22,463.7,562.3,600,603.2,550.8,1,5,I
41,,426.8,740,404.5,,1,6,E
19,435.5,365.5,440,554.4,435,1,6,B
17,496.1,619.6,920,563.5,540.6,2,5,B
17,451.5,424.1,440,429.9,400.8,2,6,B
28,,,,,,1,7,B
29,613.9,632.3,940,625.9,699.8,1,3,C
19,458.8,559.9,640,543,594.6,1,5,B
18,563.8,567.9,860,565.6,587.4,1,4,I
19,,,,,,1,4,B
23,570.5,624.5,580,621.9,609,1,3,J
21,441.2,495.3,680,477.4,386,1,4,B
18,559.6,618.7,900,607.5,615.6,2,2,C
19,456.4,576.8,860,523.1,583.2,1,4,D
37,511.9,574.8,540,550.2,422.9,1,3,F
15,574.9,455.8,620,533.3,453.9,3,5,N
21,444.9,510.3,640,528.9,373.4,1,4,B
23,,,,,,1,3,C
16,556.9,616.4,820,551,521.8,2,4,B
26,,,,,,1,4,C
